,learning_rate,gamma,clip_range,ent_coef,n_steps,gae_lambda,randomization distribution,policy,network,tuned method,eval episodes,source reward,target reward
0,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.5, 6.5]]",MlpPolicy,mlp,grid,50,1536.0150341799997,963.4861225000001
1,0.00054,0.989125,0.135039,0,1472,0.966356,"[[2.5, 6.0]]",MlpPolicy,mlp,grid,50,1127.7314355199999,888.0200355000002
2,0.00054,0.989125,0.135039,0,1472,0.966356,"[[4.0, 6.5]]",MlpPolicy,mlp,grid,50,1624.6094564599998,687.3156781199999
3,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.0, 6.0]]",MlpPolicy,mlp,grid,50,1639.4878405599998,680.56660982
4,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.0, 5.0]]",MlpPolicy,mlp,grid,50,1457.58465346,1018.2776375600001
5,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.0, 4.0]]",MlpPolicy,mlp,grid,50,1327.0554221200002,848.1966111400001
6,0.00054,0.989125,0.135039,0,1472,0.966356,"[[1.5, 4.0]]",MlpPolicy,mlp,grid,50,1563.4448439599998,1686.5804552
7,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.5, 6.0]]",MlpPolicy,mlp,grid,50,1388.6652284800002,677.18181434
8,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.0, 5.5]]",MlpPolicy,mlp,grid,50,1619.3503163799999,677.51717512
9,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.5, 5.0]]",MlpPolicy,mlp,grid,50,1390.7319018399999,1060.83179696
10,0.00054,0.989125,0.135039,0,1472,0.966356,"[[4.5, 6.0]]",MlpPolicy,mlp,grid,50,1175.5590501,1266.69482226
11,0.00054,0.989125,0.135039,0,1472,0.966356,"[[4.0, 7.0]]",MlpPolicy,mlp,grid,50,1434.0704241400003,711.2654640000001
12,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.0, 4.5]]",MlpPolicy,mlp,grid,50,898.5569651000001,702.7859407999999
13,0.00054,0.989125,0.135039,0,1472,0.966356,"[[1.0, 3.5]]",MlpPolicy,mlp,grid,50,752.4961775999999,701.69147954
14,0.00054,0.989125,0.135039,0,1472,0.966356,"[[4.5, 6.5]]",MlpPolicy,mlp,grid,50,1551.24936484,691.35569328
15,0.00054,0.989125,0.135039,0,1472,0.966356,"[[4.5, 8.0]]",MlpPolicy,mlp,grid,50,1553.9961542400001,661.9814419400001
16,0.00054,0.989125,0.135039,0,1472,0.966356,"[[1.5, 5.0]]",MlpPolicy,mlp,grid,50,803.6437143800001,956.22949854
17,0.00054,0.989125,0.135039,0,1472,0.966356,"[[1.0, 4.5]]",MlpPolicy,mlp,grid,50,1301.4706025799999,778.2195082599999
18,0.00054,0.989125,0.135039,0,1472,0.966356,"[[1.0, 2.5]]",MlpPolicy,mlp,grid,50,1088.19969264,886.6662802000001
19,0.00054,0.989125,0.135039,0,1472,0.966356,"[[2.0, 3.0]]",MlpPolicy,mlp,grid,50,1267.41767008,962.3429095199999
20,0.00054,0.989125,0.135039,0,1472,0.966356,"[[2.5, 4.0]]",MlpPolicy,mlp,grid,50,1652.4789540000002,827.5984047799998
21,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.0, 6.5]]",MlpPolicy,mlp,grid,50,1620.35530898,846.56724976
22,0.00054,0.989125,0.135039,0,1472,0.966356,"[[2.5, 3.5]]",MlpPolicy,mlp,grid,50,1580.6562270000002,703.95080244
23,0.00054,0.989125,0.135039,0,1472,0.966356,"[[2.5, 5.0]]",MlpPolicy,mlp,grid,50,1652.5557160800004,988.4945216799999
24,0.00054,0.989125,0.135039,0,1472,0.966356,"[[1.0, 3.0]]",MlpPolicy,mlp,grid,50,1487.4352049199997,1049.817619
25,0.00054,0.989125,0.135039,0,1472,0.966356,"[[1.5, 4.5]]",MlpPolicy,mlp,grid,50,1328.65372056,884.73576076
26,0.00054,0.989125,0.135039,0,1472,0.966356,"[[1.5, 2.5]]",MlpPolicy,mlp,grid,50,1134.5510902400001,690.3204265799999
27,0.00054,0.989125,0.135039,0,1472,0.966356,"[[4.5, 5.5]]",MlpPolicy,mlp,grid,50,1609.6931121799996,1000.78071322
28,0.00054,0.989125,0.135039,0,1472,0.966356,"[[3.5, 5.5]]",MlpPolicy,mlp,grid,50,1525.1570533600002,932.53263252
29,0.00054,0.989125,0.135039,0,1472,0.966356,"[[2.0, 5.0]]",MlpPolicy,mlp,grid,50,875.13052144,684.7913328999999
