,learning_rate,gamma,clip_range,ent_coef,n_steps,gae_lambda,randomization distribution,policy,network,tuned method,eval episodes,source-source reward,source-target reward,target-target reward
0,0.001,0.97,0.1,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,628.8953584,518.3404523799999,520.0186211600001
1,0.001,0.97,0.1,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,594.6364209799999,512.48667444,702.2448171599999
2,0.001,0.97,0.1,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,603.8321438999999,570.4912862399999,563.1341685000001
3,0.001,0.97,0.1,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,672.88462906,645.15892226,395.97356406
4,0.001,0.97,0.1,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,663.22889408,516.2814228,570.0091581
5,0.001,0.97,0.1,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,634.6023072200001,610.9188945799999,672.14531844
6,0.001,0.97,0.1,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,692.7059638200001,634.5882521,639.9762086200001
7,0.001,0.97,0.1,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,619.96566244,544.4598126999999,712.25054856
8,0.001,0.97,0.1,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,704.17931234,596.42181078,606.1949244799999
9,0.001,0.97,0.2,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,645.36312458,649.4636548599999,542.46935332
10,0.001,0.97,0.2,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,628.2785669,545.3170308,564.6559493599999
11,0.001,0.97,0.2,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,656.20830212,617.0956758199999,579.66694966
12,0.001,0.97,0.2,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,671.2365217,593.8502362400001,650.47137642
13,0.001,0.97,0.2,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,623.9558467800001,527.3397460599999,675.4061005
14,0.001,0.97,0.2,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,596.98413698,528.2012992800001,621.7926056199999
15,0.001,0.97,0.2,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,647.2804066,598.60293092,601.65421188
16,0.001,0.97,0.2,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,704.9809104799999,598.30802286,640.2240425
17,0.001,0.97,0.2,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,688.52764758,579.70035282,627.90613062
18,0.001,0.97,0.3,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,534.8582572,490.03237462000004,519.8571633
19,0.001,0.97,0.3,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,568.71928588,796.8500348199999,542.5824646799999
20,0.001,0.97,0.3,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,413.85343245999996,524.16015456,586.9480914600001
21,0.001,0.97,0.3,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,970.18581922,1086.8652746999999,543.76390246
22,0.001,0.97,0.3,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,721.6916458400001,473.2891334200001,991.20528
23,0.001,0.97,0.3,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,682.54127868,442.26227306,584.18338498
24,0.001,0.97,0.3,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,595.63550844,526.01088156,683.2614390399999
25,0.001,0.97,0.3,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,683.44739988,532.49587458,661.2920646
26,0.001,0.97,0.3,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,610.44981196,633.3136045,530.18362554
27,0.001,0.98,0.1,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,639.93794322,483.94212796,733.03353038
28,0.001,0.98,0.1,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,668.14337924,639.0765616799999,1332.2543693
29,0.001,0.98,0.1,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1061.89537488,910.2291870399999,1094.80088966
30,0.001,0.98,0.1,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,942.6250828400001,863.76206998,869.4035318999998
31,0.001,0.98,0.1,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,732.0426256599999,665.8475958399999,737.3762519600001
32,0.001,0.98,0.1,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,744.64139018,580.13629108,947.927178
33,0.001,0.98,0.1,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,771.8940717400001,610.0777585600001,957.6389085600001
34,0.001,0.98,0.1,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,844.01565032,669.4158723600001,707.13856952
35,0.001,0.98,0.1,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,796.10683758,647.78776036,724.5168621400002
36,0.001,0.98,0.2,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,710.13703618,527.72954822,714.2569408
37,0.001,0.98,0.2,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,675.93458778,735.7017285200001,906.50592014
38,0.001,0.98,0.2,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1056.11905392,760.44249342,704.80695864
39,0.001,0.98,0.2,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,797.7348211,690.5805147199999,753.4960955999999
40,0.001,0.98,0.2,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,720.2374279800001,575.99978896,820.97751598
41,0.001,0.98,0.2,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,687.4421906599999,597.3125730800001,955.6311722
42,0.001,0.98,0.2,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,911.6877750400001,667.50790596,830.3098355200001
43,0.001,0.98,0.2,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,692.3786466399999,627.41515684,842.38282554
44,0.001,0.98,0.2,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,752.8285997400001,627.00007434,792.5510237600001
45,0.001,0.98,0.3,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,994.2529002799998,1003.5476133600001,752.434419
46,0.001,0.98,0.3,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,643.5889000999999,526.54776268,635.5778085
47,0.001,0.98,0.3,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,641.2967507799999,696.73940874,567.35407588
48,0.001,0.98,0.3,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,931.9159336600001,703.65471114,718.2178001999999
49,0.001,0.98,0.3,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,966.3091448,766.8920788400002,737.7874044999999
50,0.001,0.98,0.3,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,928.3040941600001,706.84499266,672.85545306
51,0.001,0.98,0.3,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,835.5633947399999,765.731321,1207.4877796
52,0.001,0.98,0.3,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,646.73044772,562.78191588,1067.80038292
53,0.001,0.98,0.3,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,692.4956963399999,628.9516191399999,1049.2627338000002
54,0.001,0.99,0.1,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,1563.25771014,744.23630622,1526.2878575599998
55,0.001,0.99,0.1,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,1422.7230200999998,880.43765042,1307.06234944
56,0.001,0.99,0.1,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1499.4594688600002,1038.48258858,1499.1557983999996
57,0.001,0.99,0.1,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1611.31716684,1078.31838906,1706.4658736399995
58,0.001,0.99,0.1,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1607.0857047399998,1215.9958421200001,1626.3799125400003
59,0.001,0.99,0.1,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,1665.50886256,1134.21432166,1595.05946964
60,0.001,0.99,0.1,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,1616.6265658799998,769.1385799200001,1727.1821277000001
61,0.001,0.99,0.1,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,1626.7639921799998,887.3650911999998,1595.9595170799998
62,0.001,0.99,0.1,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,1649.48329394,797.6172482599999,1357.6623868000001
63,0.001,0.99,0.2,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,1653.53088294,875.29448838,1534.00977776
64,0.001,0.99,0.2,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,1527.7232694,805.0759105399999,1470.39226402
65,0.001,0.99,0.2,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1523.1736371,1248.18675812,1364.3111987
66,0.001,0.99,0.2,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1541.6046334399998,1589.7228608799996,1716.0571531199998
67,0.001,0.99,0.2,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1523.59445442,935.2414334599998,1556.95033482
68,0.001,0.99,0.2,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,1655.4106387399997,866.5791547599999,1591.1627856599996
69,0.001,0.99,0.2,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,1592.2464746200003,833.8097195,1461.95511284
70,0.001,0.99,0.2,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,1697.1911029399998,969.8145118599999,1494.0615136599997
71,0.001,0.99,0.2,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,1663.1558636200002,1690.15085006,1610.42320846
72,0.001,0.99,0.3,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,1319.9135070399998,1427.4142086800002,1339.2116482800002
73,0.001,0.99,0.3,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,1374.85154428,1260.6362080000001,1324.42800536
74,0.001,0.99,0.3,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1217.66898764,939.00785664,1246.11051866
75,0.001,0.99,0.3,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1446.2722092600002,891.2220658400001,1514.3164837800002
76,0.001,0.99,0.3,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1543.9189066000001,764.3868391799999,1453.9386216000003
77,0.001,0.99,0.3,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,1424.86793724,1026.65555722,1488.3823473800003
78,0.001,0.99,0.3,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,1502.46172772,925.1757978000002,1531.1586871199997
79,0.001,0.99,0.3,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,1584.0595352,943.1875889399998,1590.8954423
80,0.001,0.99,0.3,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,1530.97795912,790.1405229000001,1518.1233898
81,0.001,1.0,0.1,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,557.01875742,556.1333917,947.6847324
82,0.001,1.0,0.1,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,826.8135115,850.62568778,821.80369962
83,0.001,1.0,0.1,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1206.5261842,1014.4379537600001,1020.06927296
84,0.001,1.0,0.1,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,815.8436241600002,836.4262439600002,930.8927434799999
85,0.001,1.0,0.1,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,914.3313297999998,978.6743769799999,548.69591478
86,0.001,1.0,0.1,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,531.6094830000001,532.03561838,536.8820561199999
87,0.001,1.0,0.1,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,741.3346455599999,797.83540042,589.2816398800001
88,0.001,1.0,0.1,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,556.2623629799999,528.2064581000001,722.1803128399999
89,0.001,1.0,0.1,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,527.11444694,528.8015121200001,606.7441878799999
90,0.001,1.0,0.2,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,1300.0266600200002,1325.758475,542.3164229800001
91,0.001,1.0,0.2,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,1235.28049828,1277.8828859399998,547.2736313999999
92,0.001,1.0,0.2,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,547.10879838,547.8919446799999,914.24685724
93,0.001,1.0,0.2,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1149.31045228,1192.62720656,1113.84552854
94,0.001,1.0,0.2,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,987.2191032000001,995.4738128,979.6864524999999
95,0.001,1.0,0.2,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,539.4331012000001,540.47089576,456.22519112000003
96,0.001,1.0,0.2,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,1023.83999604,1092.8419188,1305.58910618
97,0.001,1.0,0.2,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,639.98654034,657.2782717800001,739.5584072
98,0.001,1.0,0.2,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,557.85775796,586.73591616,576.7920023400001
99,0.001,1.0,0.3,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,678.89514014,714.0718924600001,599.353659
100,0.001,1.0,0.3,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,561.28787528,561.74841312,1201.6439978
101,0.001,1.0,0.3,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1077.5173312000002,1180.7079562000001,985.8414007200001
102,0.001,1.0,0.3,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1309.32205948,1102.59618478,1353.70884514
103,0.001,1.0,0.3,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1069.10902016,1128.5224096,993.1076846399999
104,0.001,1.0,0.3,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,1033.1290375199999,1085.37575416,546.24211544
105,0.001,1.0,0.3,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,843.6501058,874.32378546,1338.4094306
106,0.001,1.0,0.3,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,1452.63269364,1163.01152666,546.2725596600001
107,0.001,1.0,0.3,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,544.55595738,548.63556986,533.18476844
108,0.0001,0.97,0.1,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,616.3329169200001,584.96803428,569.26461998
109,0.0001,0.97,0.1,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,596.4171794399999,576.6766959600001,559.6945739399999
110,0.0001,0.97,0.1,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,593.0604390000001,575.5175961600002,547.6905905599999
111,0.0001,0.97,0.1,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,518.7714191,524.0069285799999,548.08080498
112,0.0001,0.97,0.1,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,575.27070246,473.31252036000006,535.5937808799999
113,0.0001,0.97,0.1,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,548.77727946,535.8014577,552.69364224
114,0.0001,0.97,0.1,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,474.56211348,514.48307544,521.69502834
115,0.0001,0.97,0.1,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,466.19311237999995,393.5498883,491.33705151999993
116,0.0001,0.97,0.1,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,606.56116458,391.25161177999996,469.56001643999997
117,0.0001,0.97,0.2,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,1094.56503576,1103.6830708200002,559.6261154599999
118,0.0001,0.97,0.2,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,609.99319282,610.64283794,558.80545722
119,0.0001,0.97,0.2,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,766.5170938199999,622.96623372,531.2244578
120,0.0001,0.97,0.2,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,708.6150951200002,687.6476186200001,535.95945024
121,0.0001,0.97,0.2,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,766.68168252,758.6723986999999,572.49468472
122,0.0001,0.97,0.2,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,595.6052195999999,502.4418546400001,545.2952937599999
123,0.0001,0.97,0.2,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,580.3792602,516.89366682,539.4496992400001
124,0.0001,0.97,0.2,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,528.23005954,544.8601876,537.26674666
125,0.0001,0.97,0.2,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,585.1468063,522.5899109,537.37136362
126,0.0001,0.97,0.3,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,834.8119402200001,640.77124038,612.53756416
127,0.0001,0.97,0.3,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,1213.46880864,1201.58432414,507.82688358
128,0.0001,0.97,0.3,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,625.49051386,577.51612744,172.62200222000004
129,0.0001,0.97,0.3,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,677.7362274,583.0484231199999,546.79617322
130,0.0001,0.97,0.3,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,944.5398689999998,736.70050066,554.7935145600001
131,0.0001,0.97,0.3,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,654.1304693,386.20125484,572.2751700000001
132,0.0001,0.97,0.3,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,588.52204832,539.06521686,531.39850398
133,0.0001,0.97,0.3,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,586.7063127,586.86307756,547.6901999
134,0.0001,0.97,0.3,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,646.8448639400001,553.4930556200001,568.14595696
135,0.0001,0.98,0.1,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,609.94352498,553.82226042,1084.0518015
136,0.0001,0.98,0.1,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,592.8110514399999,495.3027336199999,596.4385073799999
137,0.0001,0.98,0.1,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,804.6176554599999,695.3938933000001,597.6401896799999
138,0.0001,0.98,0.1,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,667.8245329,618.78406878,709.83266432
139,0.0001,0.98,0.1,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,615.67803082,581.02322312,628.4838553400001
140,0.0001,0.98,0.1,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,605.71043822,505.50373416,612.1316656600001
141,0.0001,0.98,0.1,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,608.9333998,393.98104044,597.8690318399999
142,0.0001,0.98,0.1,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,728.0801380799999,698.28663008,677.86456552
143,0.0001,0.98,0.1,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,785.09736828,701.2116540000002,642.78712806
144,0.0001,0.98,0.2,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,831.7399172600001,944.3391798600002,537.92447636
145,0.0001,0.98,0.2,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,1173.3211458199999,1190.33611138,578.8791974799999
146,0.0001,0.98,0.2,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,495.13490559999997,380.40912589999994,817.4182365600001
147,0.0001,0.98,0.2,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1275.7786810999999,1023.0237185200001,617.32357506
148,0.0001,0.98,0.2,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,715.0485253599999,668.1281892599999,586.73908658
149,0.0001,0.98,0.2,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,619.2621183599999,685.1565166,578.9638794
